	investor	{'date': 'invest_date', 'weight': 'company'}
92266	/organization/venrock	{'date': '2007-05-21', 'weight': '/organization/tri-alpha-energy'}
44933	/organization/formula-ventures	{'date': '2005-09-13', 'weight': '/organization/earnix'}
26629	/organization/sapphire-ventures	{'date': '2006-10-02', 'weight': '/organization/reva-systems'}
23307	/organization/galleon-group	{'date': '2008-05-01', 'weight': '/organization/altierre'}
92898	/organization/launchbox-digital	{'date': '2008-04-01', 'weight': '/organization/sharememe'}
35939	/organization/fier-innovation	{'date': '2008-02-12', 'weight': '/organization/odotech'}
50419	/organization/menlo-ventures	{'date': '2008-08-01', 'weight': '/organization/like'}
35931	/organization/capital-stage	{'date': '2005-08-23', 'weight': '/organization/hyglos'}
53995	/organization/austin-ventures	{'date': '2007-06-01', 'weight': '/organization/thoof'}
70524	/organization/tl-ventures	{'date': '2008-03-25', 'weight': '/organization/kleer'}
65080	/organization/trident-capital	{'date': '2005-10-18', 'weight': '/organization/vidient'}
76836	/organization/intel-capital	{'date': '2007-09-01', 'weight': '/organization/grono-net'}
96917	/organization/sutter-hill-ventures	{'date': '2008-01-01', 'weight': '/organization/kadoink'}
65085	/organization/centrecourt-asset-management	{'date': '2006-06-27', 'weight': '/organization/genelabs-technologies'}
103976	/organization/siemer-ventures	{'date': '2006-09-01', 'weight': '/organization/sodahead'}
89587	/organization/extreme-venture-partners	{'date': '2008-05-01', 'weight': '/organization/bumptop'}
2746	/organization/norwest-venture-partners	{'date': '2006-12-11', 'weight': '/organization/kriyari'}
13601	/organization/lazard-technology-partners	{'date': '2006-08-08', 'weight': '/organization/interwise'}
55625	/organization/new-enterprise-associates	{'date': '2006-06-20', 'weight': '/organization/compiere'}
55624	/organization/ftv-capital	{'date': '2006-09-25', 'weight': '/organization/mavent'}
67448	/organization/dfj-eplanet-ventures	{'date': '2006-12-14', 'weight': '/organization/passado'}
82224	/organization/petra-capital-partners	{'date': '2007-06-25', 'weight': '/organization/t2-systems'}
84904	/person/peter-lynch	{'date': '2008-02-01', 'weight': '/organization/jackpot-rewards'}
50532	/organization/cit-gap-funds	{'date': '2008-06-26', 'weight': '/organization/workproducts'}
22674	/organization/cit-gap-funds	{'date': '2005-08-03', 'weight': '/organization/visure'}
23122	/organization/bay-partners	{'date': '2007-08-15', 'weight': '/organization/g2one'}
77289	/organization/catamount-ventures	{'date': '2006-09-07', 'weight': '/organization/liquid-engines'}
60901	/organization/sas-investors	{'date': '2005-05-11', 'weight': '/organization/velox-semiconductor'}
50672	/organization/jatotech-ventures	{'date': '2006-07-24', 'weight': '/organization/neteffect'}
69418	/organization/menlo-ventures	{'date': '2008-08-28', 'weight': '/organization/speeddate'}
100373	/organization/invus	{'date': '2005-10-17', 'weight': '/organization/netcontinuum'}
69416	/organization/capman-oyj	{'date': '2006-04-20', 'weight': '/organization/ascade'}
92084	/organization/cdc-enterprises-2	{'date': '2005-10-01', 'weight': '/organization/kuros-biosurgery'}
100370	/organization/draper-fisher-jurvetson	{'date': '2007-03-07', 'weight': '/organization/uusee'}
77285	/organization/felicis-ventures	{'date': '2006-01-01', 'weight': '/organization/cakefinancial'}
77284	/organization/ws-investments	{'date': '2005-07-01', 'weight': '/organization/lasso'}
86289	/organization/clarus-ventures	{'date': '2007-12-06', 'weight': '/organization/pelikan-technologies'}
15556	/organization/motilal-oswal-venture-capital-advisors	{'date': '2008-04-28', 'weight': '/organization/dixon-technologies'}
89989	/organization/harbert-venture-partners	{'date': '2008-05-01', 'weight': '/organization/innovative-biosensors'}
66765	/organization/federman-and-sons	{'date': '2008-08-20', 'weight': '/organization/aposense'}
24704	/organization/wi-harper-group	{'date': '2007-07-04', 'weight': '/organization/dibcom'}
24705	/organization/shasta-ventures	{'date': '2008-06-05', 'weight': '/organization/marketcetera'}
24707	/organization/connecticut-innovations	{'date': '2007-12-18', 'weight': '/organization/keisense'}
46135	/organization/sc-launch	{'date': '2008-06-25', 'weight': '/organization/vigilix'}
61230	/organization/channel-medical-partners	{'date': '2007-02-20', 'weight': '/organization/sanarus-medical'}
61237	/organization/prospect-venture-partners	{'date': '2005-08-29', 'weight': '/organization/allux-medical'}
65269	/organization/genesis-partners	{'date': '2007-01-08', 'weight': '/organization/commex-technologies'}
75537	/organization/granite-ventures	{'date': '2006-08-15', 'weight': '/organization/movaris'}
59730	/organization/black-river	{'date': '2005-09-12', 'weight': '/organization/teranode'}
75539	/organization/intel-capital	{'date': '2007-01-01', 'weight': '/organization/powertech-technology'}
61239	/organization/ta-associates	{'date': '2008-09-23', 'weight': '/organization/radialpoint'}
15000	/organization/fonds-de-solidarit-ftq	{'date': '2007-03-01', 'weight': '/organization/bandsintown-group'}
87190	/organization/khosla-ventures	{'date': '2008-09-16', 'weight': '/organization/appnexus'}
71276	/person/darren-herman	{'date': '2008-02-09', 'weight': '/organization/path101'}
77755	/person/charles-skibo	{'date': '2006-11-06', 'weight': '/organization/payease'}
73072	/organization/ata-ventures	{'date': '2006-11-17', 'weight': '/organization/theranos'}
77020	/organization/y-combinator	{'date': '2008-08-02', 'weight': '/organization/contestmachine'}
77751	/organization/allen-and-company	{'date': '2006-10-01', 'weight': '/organization/spotrunner'}
45037	/organization/meritech-capital-partners	{'date': '2006-04-01', 'weight': '/organization/facebook'}
399	/organization/enterprise-partners	{'date': '2005-09-12', 'weight': '/organization/preventsys'}
63253	/organization/advantage-capital-partners	{'date': '2008-09-10', 'weight': '/organization/softswitching-technologies'}
43462	/organization/fondaction	{'date': '2007-05-30', 'weight': '/organization/aceris-3d-inspection'}
81509	/organization/alta-partners	{'date': '2006-02-13', 'weight': '/organization/netli'}
86228	/person/venky-harinarayan	{'date': '2007-11-14', 'weight': '/organization/gigaom'}
31909	/person/stewart-butterfield	{'date': '2008-01-31', 'weight': '/organization/flowgram'}
31904	/organization/sbadour-capital	{'date': '2005-07-01', 'weight': '/organization/asp64'}
31905	/organization/updata-partners	{'date': '2006-09-29', 'weight': '/organization/objectvideo'}
2303	/organization/zone-ventures	{'date': '2006-08-21', 'weight': '/organization/copperkey'}
4726	/organization/high-tech-gruenderfonds	{'date': '2008-02-14', 'weight': '/organization/contros-systems-solutions-gmbh'}
13610	/organization/acton-capital-partners	{'date': '2007-01-01', 'weight': '/organization/tripsbytips'}
13611	/organization/ge-equity	{'date': '2008-03-03', 'weight': '/organization/mzinga'}
